number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
0.023622047244094488,0.011173184357541898,0.13664596273291924,1.0,699
0.0,0.00558659217877095,1.0,1.0,463
0.0,0.00558659217877095,0.0031055900621118036,0.0,540
0.0,0.16201117318435757,0.7049689440993788,1.0,459
0.015748031496062992,0.0,0.0,0.0,999
0.03937007874015748,0.00558659217877095,1.0,0.0,375
0.023622047244094488,0.00558659217877095,0.02484472049689441,1.0,672
0.0,0.00558659217877095,0.0,1.0,1000
0.11023622047244094,0.00558659217877095,0.02484472049689441,1.0,500
0.0,0.1564245810055866,1.0,1.0,699
0.007874015748031496,0.00558659217877095,0.0031055900621118036,0.0,990
0.007874015748031496,0.16201117318435757,0.36024844720496896,1.0,369
0.0,0.0,0.02173913043478261,1.0,1978
0.031496062992125984,0.011173184357541898,0.13664596273291924,1.0,737
0.0,0.16201117318435757,0.04037267080745341,1.0,534
0.0,0.16201117318435757,0.7049689440993788,1.0,377
0.0,0.0,0.0031055900621118036,1.0,4160
0.007874015748031496,0.15083798882681565,0.13664596273291924,1.0,714
0.0,0.15083798882681565,0.13664596273291924,1.0,714
0.0,0.0,0.027950310559006212,0.0,475
0.06299212598425197,0.00558659217877095,1.0,1.0,403
0.0,0.16201117318435757,0.18633540372670807,1.0,385
0.0,0.16201117318435757,0.7049689440993788,1.0,446
0.007874015748031496,0.16201117318435757,0.36024844720496896,1.0,369
0.0,0.16201117318435757,0.18633540372670807,1.0,483
0.0,0.00558659217877095,0.0031055900621118036,0.0,500
0.0,0.16201117318435757,0.18633540372670807,1.0,470
0.03937007874015748,0.00558659217877095,1.0,1.0,470
0.015748031496062992,0.011173184357541898,0.13043478260869565,1.0,500
0.10236220472440945,0.00558659217877095,0.02173913043478261,0.0,649
0.023622047244094488,0.0223463687150838,0.0,0.0,1500
0.0,0.16201117318435757,0.009316770186335404,1.0,399
0.0,0.16201117318435757,0.7049689440993788,1.0,466
0.1889763779527559,0.16201117318435757,0.018633540372670804,1.0,1000
0.047244094488188976,0.00558659217877095,1.0,1.0,520
0.11811023622047244,0.00558659217877095,1.0,1.0,451
0.015748031496062992,0.011173184357541898,0.13664596273291924,1.0,737
0.14960629921259844,0.011173184357541898,0.13664596273291924,1.0,699
0.07086614173228346,0.16201117318435757,0.018633540372670804,1.0,2000
0.0,0.15083798882681565,0.13664596273291924,1.0,675
0.06299212598425197,0.0,0.0031055900621118036,1.0,400
0.0,0.16201117318435757,0.08695652173913043,1.0,487
0.0,0.15083798882681565,0.13664596273291924,1.0,714
0.0,0.16201117318435757,0.7049689440993788,1.0,377
0.0,0.16201117318435757,0.18633540372670807,1.0,495
0.03937007874015748,0.0,0.07763975155279502,0.0,999
0.0,0.16201117318435757,0.7049689440993788,1.0,365
0.007874015748031496,0.0,0.018633540372670804,0.0,425
0.007874015748031496,0.15083798882681565,0.13664596273291924,1.0,675
0.0,0.011173184357541898,0.0,1.0,785
0.007874015748031496,0.011173184357541898,0.02173913043478261,0.0,649
